date,instrument,weight
2022-05-23,cl1s,0.4749412974782275
2022-05-23,rb1s,-0.542284978510952
2022-05-24,cl1s,0.482422656931125
2022-05-24,rb1s,-0.0
2022-05-25,cl1s,0.49051776406434483
2022-05-25,ng1s,-0.35472944750227037
2022-05-25,rb1s,0.0
2022-05-26,cl1s,0.49219190117969747
2022-05-26,rb1s,0.0
2022-05-27,cl1s,0.5003561276101728
2022-05-27,rb1s,-0.5701054555017289
2022-05-31,cl1s,0.5082270820493354
2022-05-31,ho1s,-0.4736944289370746
2022-05-31,rb1s,-0.5793615946239343
2022-06-01,cl1s,0.5167669282894289
2022-06-01,ng1s,-0.34945318504213985
2022-06-01,rb1s,-0.5761280519833082
2022-06-02,cl1s,0.5247094921133205
2022-06-02,ng1s,-0.35249586951263967
2022-06-02,rb1s,-0.580207324007972
2022-06-03,cl1s,0.5322087076565105
2022-06-03,ng1s,-0.35839379659851445
2022-06-03,rb1s,-0.5894429121619483
2022-06-06,cl1s,0.5404920831756332
2022-06-06,ng1s,-0.3449567420018187
2022-06-06,rb1s,-0.5932027876383612
2022-06-07,cl1s,0.5495092152583426
2022-06-07,ng1s,-0.3502963383243299
2022-06-07,rb1s,-0.5999057855942446
2022-06-08,cl1s,0.5556417232762355
2022-06-08,ng1s,-0.3425394975091126
2022-06-08,rb1s,-0.609050317215159
2022-06-09,cl1s,0.5637890197393943
2022-06-09,rb1s,-0.0
2022-06-10,cl1s,0.5716048929900476
2022-06-10,rb1s,-0.0
2022-06-13,cl1s,0.5811217042890142
2022-06-13,rb1s,0.0
2022-06-14,cl1s,0.5854126127293923
2022-06-14,rb1s,0.0
2022-06-15,cl1s,0.0
2022-06-15,rb1s,0.0
2022-06-16,cl1s,0.0
2022-06-16,rb1s,0.0
2022-06-17,cl1s,0.5504984860758771
2022-06-17,ng1s,-0.30427029998832394
2022-06-17,rb1s,0.0
2022-06-21,cl1s,0.0
2022-06-21,ng1s,-0.30874551025586316
2022-06-21,rb1s,0.0
2022-06-22,cl1s,0.0
2022-06-22,ng1s,-0.31380776096347374
2022-06-22,rb1s,0.0
2022-06-23,cl1s,0.0
2022-06-23,rb1s,0.0
2022-06-24,cl1s,0.0
2022-06-24,rb1s,0.0
2022-06-27,cl1s,0.0
2022-06-27,rb1s,0.0
2022-06-28,cl1s,0.0
2022-06-28,rb1s,-0.0
2022-06-29,cl1s,0.0
2022-06-29,rb1s,-0.0
